siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement
005520135,00012,00552013500012,O,1955-01-01,NN,,,2024-03-22T15:40:57,false,5,,253,,,,RUE,DE MENCHECOURT,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,2007-11-19,F,,,,,74.1J,NAFRev1,O,
005520135,00020,00552013500020,O,1998-09-30,NN,,,2024-03-22T15:40:57,false,3,,32,,,,PL,DE LA GARE - LILLE,59000,LILLE,,,59350,,,,,,,,,,,,,,,,,,,,,,2007-04-20,F,,,,,74.1J,NAFRev1,N,
005520135,00038,00552013500038,O,2007-04-20,NN,,,2024-03-22T15:40:57,true,2,,70,,,,RUE,DE LAUSANNE,01220,DIVONNE-LES-BAINS,,,01143,,,,,,,,,,,,,,,,,,,,,,2007-11-19,F,,,,,17.1P,NAFRev1,N,
005520176,00016,00552017600016,O,1955-01-01,12,2023,,2025-12-05T15:51:52,true,4,,50,,,,RUE,PASTEUR,80210,FEUQUIERES-EN-VIMEU,,,80308,,,,,803080700_B,599876.1250704136,6995939.949189544,,,,,,,,,,,,,,,2008-01-01,A,,,,,17.21A,NAFRev2,O,17.21Y
005520176,00032,00552017600032,O,1999-08-30,12,2023,,2025-12-06T00:22:28,false,4,,,,,,,ZONE DES HAYETTES,80210,CHEPY,,,80190,,,,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,17.21A,NAFRev2,O,17.21Y
005520200,00014,00552020000014,O,,NN,,,2024-03-22T15:40:57,true,1,,4,,,,RUE,PIERRE CURIE,80220,GAMACHES,,,80373,,,,,,,,,,,,,,,,,,,,,,,F,,,,,81.21,NAP,N,
005520234,00021,00552023400021,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,ZONE INDUSTRIELLE,80210,FEUQUIERES-EN-VIMEU,,,80308,,,,,,,,,,,,,,,,,,,,,,1988-06-23,F,,,,,59.10,NAP,N,
005520242,00016,00552024200016,O,1900-01-01,00,2023,,2024-03-30T12:29:26,false,5,,3,,,,RUE,DU 43 RIC,80510,LONGPRE-LES-CORPS-SAINTS,,,80488,,,,,804880710_B,628325.4785957776,6990958.224527271,,,,,,,,,,,,,,,2023-03-01,F,,,,,20.30Z,NAFRev2,O,
005520242,00032,00552024200032,O,1900-01-01,NN,,,2024-03-30T12:29:26,false,4,,55,,,,BOULEVARD,DE SEBASTOPOL,75001,PARIS,,,75101,,,,,751018894_B,652322.9353410682,6862677.744800113,,,,,,,,,,,,,,,1994-12-25,F,,,,,74.1J,NAF1993,O,
005520242,00040,00552024200040,O,1993-03-01,NN,,,2024-03-30T12:29:26,false,4,,88,,,,RUE,ROBESPIERRE,93100,MONTREUIL,,,93048,,,,,930488225_B,657853.5342181568,6861226.100857308,,,,,,,,,,,,,,,2001-01-19,F,,,,,74.1J,NAF1993,O,
005520242,00057,00552024200057,O,2001-01-15,NN,,,2024-03-30T12:29:27,false,3,,14,,,,RUE,LESAULT,93500,PANTIN,,,93055,,,,,930555155_B,656639.7672459759,6865718.062853288,,,,,,,,,,,,,,,2004-10-12,F,,,,,24.3Z,NAFRev1,N,
005520242,00065,00552024200065,O,2001-01-19,NN,,,2024-03-30T12:29:26,false,4,,14,,,,RUE,LESAULT,93500,PANTIN,,,93055,,,,,930555155_B,656639.7672459759,6865718.062853288,,,,,,,,,,,,,,,2008-01-01,F,,,,,20.30Z,NAFRev2,O,
005520242,00073,00552024200073,O,2004-10-01,NN,,,2024-03-30T12:29:26,false,4,,1,,,,RUE,ALBERT EINSTEIN,78190,TRAPPES,,,78621,,,,,786210018_B,626548.4558667345,6852408.590996876,,,,,,,,,,,,,,,2008-01-01,F,,,,,20.30Z,NAFRev2,O,
005520242,00081,00552024200081,O,2023-03-01,12,2023,,2025-12-06T04:18:17,true,1,,4,,,,RUE,DU 43 RIC,80510,LONGPRE-LES-CORPS-SAINTS,,,80488,,,,,804880710_B,628509.6135741135,6990840.768488835,,,,,,,,,,,,,,,2023-03-01,A,,,,,20.30Z,NAFRev2,N,20.30Y
005520259,00010,00552025900010,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,CHS,DU BOIS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.43,NAP,N,
005520309,00013,00552030900013,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,RUE,MARECHAL FOCH,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.13,NAP,N,
005520325,00019,00552032500019,O,1955-01-01,12,2023,,2025-12-06T02:16:10,false,5,,12,,,,RUE,HENRI BARBUSSE,80570,DARGNIES,,,80235,,,,,802350320_B,594610.9193809408,6994643.0011131475,,,,,,,,,,,,,,,2013-12-31,A,,,,,46.74B,NAFRev2,O,46.84H
005520325,00027,00552032500027,O,2018-12-20,NN,,,2025-12-06T04:31:28,true,1,,36,,,,AVENUE,JUNOT,75018,PARIS,,,75118,,,,,751185122_B,651350.2009769329,6865661.789747959,,,,,,,,,,,,,,,2018-12-20,A,,,,,70.10Z,NAFRev2,N,70.10Y
005520408,00047,00552040800047,O,2000-12-14,NN,,,2024-03-22T15:40:57,false,4,,52,,,,RUE,DE LA BIENFAISANCE,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,,,,2003-07-01,F,,,,,65.2E,NAFRev1,N,
005520408,00054,00552040800054,O,2003-07-01,NN,,,2024-03-22T15:40:57,true,3,,17,,,,RUE,DE LA BAUME,75008,PARIS 8,,,75108,,,,,,,,,,,,,,,,,,,,,,2004-08-01,F,,,,,65.2E,NAFRev1,N,
005520416,00016,00552041600016,O,1900-01-01,NN,,,2024-03-30T12:07:38,true,4,,60,,,,QUAI,DE LA POINTE,80100,ABBEVILLE,,,80001,,,,,800011600_B,615858.0016162635,7002073.460855286,,,,,,,,,,,,,,,1995-12-25,F,,,,,37.1Z,NAF1993,O,
005520424,00010,00552042400010,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,RUE,JOSSE VAN ROBAIS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,55.60,NAP,N,
005520432,00013,00552043200013,O,,NN,,,2024-04-25T09:31:23,true,1,,58,,,,RUE,GRANDE,80220,GAMACHES,,,80373,,,,,,,,,,,,,,,,,,,,,,,F,,,,,64.22,NAP,N,
005520440,00016,00552044000016,O,1955-01-01,NN,,,2024-03-29T22:36:21,true,4,,2,,,,RUE,SAINT GILLES,80100,ABBEVILLE,,,80001,,,,,800011900_B,616733.5101101252,7001205.25109787,,,,,,,,,,,,,,,2003-04-01,F,,,,,18.2D,NAFRev1,O,
005520465,00039,00552046500039,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,RUE,DE L HOMMELET,59100,ROUBAIX,,,59512,,,,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,59.02,NAP,N,
005520507,00012,00552050700012,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,MOU SAINT JEAN,80120,RUE,,,80688,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,57.09,NAP,N,
005540034,00013,00554003400013,O,,NN,,,2024-03-30T15:23:45,true,1,,,,,,PLACE,DU GENERAL DE GAULLE,04000,DIGNE-LES-BAINS,,,04070,,,,,040700745_B,959077.6733504224,6337973.730040853,,,,,,,,,,,,,,,1984-12-25,F,,,,,81.21,NAP,N,
005540083,00010,00554008300010,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,RUE,4 COINS,04500,RIEZ,,,04166,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.11,NAP,N,
005540091,00013,00554009100013,O,,NN,,,2024-03-30T02:01:10,true,1,,,,,,AVENUE,DE LA LIBERATION,04200,SISTERON,,,04209,,,,,042090820_B,935365.6351869196,6347998.534582158,,,,,,,,,,,,,,,1984-12-25,F,,,,,47.02,NAP,N,
005540125,00019,00554012500019,O,,NN,,,2024-03-30T04:09:58,true,1,,,,,,PLACE,JEAN JAURES,04160,CHATEAU-ARNOUX-SAINT-AUBAN,,,04049,,,,,040490450_B,940908.441424451,6337240.681847153,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,
005540273,00025,00554027300025,O,1900-01-01,NN,,,2025-12-06T00:34:38,true,3,,7,,,,PL,BERAUD,04330,BARREME,,,04022,,,,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N,68.20H
005540307,00013,00554030700013,O,1955-01-01,NN,,,2024-03-22T15:40:57,true,1,,,,,,HAM,LE SAUZE,04400,ENCHASTRAYES,,,04073,,,,,,,,,,,,,,,,,,,,,,1998-06-30,F,,,,,70.2C,NAF1993,N,
005540315,00016,00554031500016,O,,NN,,,2024-03-30T07:11:46,true,1,,44,,,,BOULEVARD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,040700710_B,958953.8966003337,6337912.054654361,,,,,,,,,,,,,,,1991-08-17,F,,,,,64.44,NAP,N,
005540349,00015,00554034900015,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,RUE,DES COURTILS,04360,MOUSTIERS-SAINTE-MARIE,,,04135,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,
005540372,00017,00554037200017,O,,NN,,,2024-03-29T23:46:29,true,1,,2,,,,PLACE,DE L’HORLOGE,04200,SISTERON,,,04209,,,,,042090720_B,935313.0116315114,6348594.262986527,,,,,,,,,,,,,,,1991-12-31,F,,,,,64.30,NAP,N,
005540380,00010,00554038000010,O,1974-04-11,NN,,,2024-03-22T15:40:57,true,5,,49,,,,BD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,,,,2010-11-16,F,,,,,47.73Z,NAFRev2,O,
005540422,00010,00554042200010,O,,NN,,,2024-03-30T18:48:31,true,1,,9,,,,ALLEE,ROMAIN SELSIS,04700,ORAISON,,,04143,,,,,041430465_B,934319.0769953409,6317341.267861213,,,,,,,,,,,,,,,1990-07-01,F,,,,,59.08,NAP,N,
005540448,00015,00554044800015,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04350,MALIJAI,,,04108,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.98,NAP,N,
005540455,00010,00554045500010,O,,NN,,,2024-03-30T15:42:27,true,1,,,,,,,LE VILLAGE,04350,MALIJAI,,,04108,,,,,04108B061_C,,,,,,,,,,,,,,,,,1991-12-31,F,,,,,39.01,NAP,N,
005540497,00012,00554049700012,O,1989-08-25,NN,,,2024-03-30T08:35:07,true,3,,47,,,,RUE,MANUEL,04400,BARCELONNETTE,,,04019,,,,,040190340_B,990738.8603678576,6372041.6192352595,,,,,,,,,,,,,,,1991-12-25,F,,,,,38.50,NAP,N,
005540539,00029,00554053900029,O,,NN,,,2024-03-30T03:59:06,true,1,,,,,,PLACE,FREDERIC MISTRAL,04210,VALENSOLE,,,04230,,,,,042300150_B,940144.7638812077,6308770.73971309,,,,,,,,,,,,,,,1984-12-25,F,,,,,81.21,NAP,N,
005540547,00014,00554054700014,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04120,CASTELLANE,,,04039,,,,,,,,,,,,,,,,,,,,,,1989-01-07,F,,,,,55.4B,NAF1993,N,
005540554,00010,00554055400010,O,,NN,,,2024-03-30T09:36:58,true,1,,,,,,RUE,DE LA GRANDE FONTAINE,04210,VALENSOLE,,,04230,,,,,042300170_B,940054.7799353637,6308787.574491414,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.10,NAP,N,
005540612,00016,00554061200016,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,LE CYRNOS,04200,SISTERON,,,04209,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,
005540646,00014,00554064600014,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,PL,MARIUS SAUVAIRE,04120,CASTELLANE,,,04039,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,
005540661,00021,00554066100021,O,1900-01-01,NN,,,2025-12-05T16:49:53,true,3,,34,,,,BOULEVARD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,040700710_B,958884.5973851447,6337864.512254101,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N,68.20H
005540828,00018,00554082800018,O,,NN,,,2024-04-25T09:35:51,true,1,,6,,,,PL,DE LA MAIRIE,04200,SISTERON,,,04209,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,
005540836,00011,00554083600011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,GRAND RUE,04210,VALENSOLE,,,04230,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,
005540844,00015,00554084400015,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04500,QUINSON,,,04158,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,
005540869,00012,00554086900012,O,,NN,,,2024-03-30T10:28:18,true,1,,7,,,,RUE,SAUNERIE,04200,SISTERON,,,04209,,,,,042091560_B,935311.2284781397,6348676.356721609,,,,,,,,,,,,,,,,F,,,,,38.50,NAP,N,
005540885,00018,00554088500018,O,,NN,,,2024-03-30T18:16:59,true,1,,,,,,PLACE,CLEMENT PLANE,04700,ORAISON,,,04143,,,,,041430125_B,934359.9197481651,6317408.382134192,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,
005540901,00013,00554090100013,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04360,MOUSTIERS-SAINTE-MARIE,,,04135,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,
005540968,00012,00554096800012,O,,NN,,,2024-03-30T17:36:23,true,1,,7,,,,RUE,CAPITOUL,04000,DIGNE-LES-BAINS,,,04070,,,,,040700280_B,959118.4598638704,6337925.0292196,,,,,,,,,,,,,,,1991-04-19,F,,,,,81.21,NAP,N,
005540976,00015,00554097600015,O,,NN,,,2024-03-30T04:51:07,true,1,,,,,,BOULEVARD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,040700710_B,959158.658725575,6338041.102798583,,,,,,,,,,,,,,,1985-12-25,F,,,,,62.43,NAP,N,
005541016,00019,00554101600019,O,,NN,,,2024-03-30T10:26:45,true,1,,,,,,,LES FERREOLS,04000,DIGNE-LES-BAINS,,,04070,,,,,04070B058_C,,,,,,,,,,,,,,,,,,F,,,,,81.21,NAP,N,
005541032,00016,00554103200016,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04140,AUZET,,,04017,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,
005541040,00019,00554104000019,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04530,LA CONDAMINE-CHATELARD,,,04062,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,,,N,
005541065,00016,00554106500016,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04140,SEYNE,,,04205,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,
005541073,00010,00554107300010,O,,NN,,,2024-03-30T05:09:46,true,1,,,,,,ROUTE,NATIONALE NO96,04600,CHATEAU-ARNOUX-SAINT-AUBAN,,,04049,,,,,040490528_B,939458.5443030191,6334995.74221664,,,,,,,,,,,,,,,,F,,,,,67.08,NAP,N,
005541123,00013,00554112300013,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04170,THORAME-HAUTE,,,04219,,,,,,,,,,,,,,,,,,,,,,1994-07-29,F,,,,,55.1A,NAF1993,N,
005541206,00016,00554120600016,O,1900-01-01,NN,,,2024-03-30T06:38:14,false,3,,,,,,RUE,DU MILIEU,04320,ENTREVAUX,,,04076,,,,,0407652crux_B,1005848.7204089072,6324186.488390744,,,,,,,,,,,,,,,1992-11-30,F,,,,,52.1B,NAF1993,N,
005541206,00024,00554120600024,O,1998-04-02,NN,,,2025-12-05T16:07:36,true,3,,,,,,QUA,LE RAGOT,04320,ENTREVAUX,,,04076,,,,,04076A006_C,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N,68.20H
005541248,00018,00554124800018,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04250,LE CAIRE,,,04037,,,,,,,,,,,,,,,,,,,,,,1987-09-01,F,,,,,67.01,NAP,N,
005541255,00013,00554125500013,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,LE VERLAINE,04800,GREOUX-LES-BAINS,,,04094,,,,,,,,,,,,,,,,,,,,,,,F,,,,,54.07,NAP,N,
005541263,00017,00554126300017,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04370,BEAUVEZER,,,04025,,,,,,,,,,,,,,,,,,,,,,,F,,,,,62.11,NAP,N,
005541305,00016,00554130500016,O,,NN,,,2024-03-30T07:02:45,true,1,,,,,,,GAUDEISSARD,04340,MEOLANS REVEL,,,04161,,,,,04161B067_C,,,,,,,,,,,,,,,,,,F,,,,,48.01,NAP,N,
005541347,00018,00554134700018,O,1900-01-01,NN,,,2024-03-22T15:40:57,true,4,,,,,,,,04500,MONTAGNAC-MONTPEZAT,,,04124,,,,,,,,,,,,,,,,,,,,,,1995-12-25,F,,,,,51.1T,NAF1993,N,
005541347,00026,00554134700026,O,1982-09-23,NN,,,2024-03-22T15:40:57,false,3,,,,,,,,04500,RIEZ,,,04166,,,,,,,,,,,,,,,,,,,,,,1994-05-04,F,,,,,01.2J,NAF1993,N,
005541362,00017,00554136200017,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04700,ORAISON,,,04143,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,55.60,NAP,N,
005541412,00010,00554141200010,O,,NN,,,2024-03-22T15:40:57,true,1,,2,,,,,C ARCS,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.08,NAP,N,
005541438,00023,00554143800023,O,1990-09-01,NN,,,2024-03-30T07:50:30,true,5,,,,,,RUE,VALLON DE FARINE,04000,DIGNE-LES-BAINS,,,04070,,,,,040701670_B,958748.7237982799,6339350.1283586025,,,,,,,,,,,,,,,2008-01-01,F,,,,,68.20B,NAFRev2,N,
005541495,00015,00554149500015,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04240,ANNOT,,,04008,,,,,,,,,,,,,,,,,,,,,,1987-05-02,F,,,,,63.05,NAP,N,
005541529,00011,00554152900011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04170,SAINT-ANDRE-LES-ALPES,,,04173,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,65.06,NAP,N,
005541545,00017,00554154500017,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04360,MOUSTIERS-SAINTE-MARIE,,,04135,,,,,,,,,,,,,,,,,,,,,,1993-08-05,F,,,,,52.1B,NAF1993,N,
005541552,00013,00554155200013,O,1974-01-01,01,2023,,2025-12-05T16:25:49,true,4,,,,,,,HOTEL DU VERDON,04370,BEAUVEZER,,,04025,,,,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,55.10Z,NAFRev2,O,55.10Y
005541552,00021,00554155200021,O,1996-11-30,NN,,,2024-03-22T15:40:57,false,4,FROND FREDDE,,,,,,L'AULAPIE,04260,ALLOS,,,04006,,,,,,,,,,,,,,,,,,,,,,2007-09-30,F,,,,,55.3B,NAFRev1,N,
005541552,00039,00554155200039,O,2007-09-30,02,2023,,2025-12-06T02:48:23,false,3,,,,,,,PISTE DE L'AIGUILLE,04260,ALLOS,,,04006,,,,,,,,,,,,,,,,,,,,,,2008-01-01,A,LE SYMPA SNACK,,,,56.10C,NAFRev2,O,56.11J
005541560,00016,00554156000016,O,,NN,,,2024-03-30T12:44:02,true,1,,37,,,,RUE,MANUEL,04400,BARCELONNETTE,,,04019,,,,,040190340_B,990768.290805984,6372051.877755837,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,
005541610,00035,00554161000035,O,,NN,,,2024-03-30T10:59:48,true,1,,,,,,RUE,DES CORDELIERS,04200,SISTERON,,,04209,,,,,042090320_B,935314.2654991737,6348271.227299339,,,,,,,,,,,,,,,1985-12-25,F,,,,,79.06,NAP,N,
005541669,00015,00554166900015,O,,NN,,,2024-03-30T03:34:54,true,1,,,,,,,SAINT CHRISTOPHE,04000,DIGNE-LES-BAINS,,,04070,,,,,04070B137_C,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,81.21,NAP,N,
005541677,00018,00554167700018,O,,NN,,,2024-03-30T16:43:09,true,1,,20,,,,RUE,MANUEL,04400,BARCELONNETTE,,,04019,,,,,040190340_B,990826.8560439919,6372080.499793209,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.46,NAP,N,
005541685,00011,00554168500011,O,,NN,,,2024-03-30T13:11:50,true,1,,15,,,,RUE,DE L'ANCIENNE MAIRIE,04000,DIGNE-LES-BAINS,,,04070,,,,,040701000_B,959165.0327923393,6337918.93317347,,,,,,,,,,,,,,,1988-05-31,F,,,,,15.8C,NAF1993,N,
005541701,00016,00554170100016,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04530,LA CONDAMINE-CHATELARD,,,04062,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.10,NAP,N,
005541735,00014,00554173500014,O,,NN,,,2024-03-30T02:28:42,true,1,,35,,,,BOULEVARD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,040700710_B,958847.0247541716,6337862.19434073,,,,,,,,,,,,,,,1989-03-07,F,,,,,64.12,NAP,N,
005541750,00013,00554175000013,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04370,COLMARS,,,04061,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,65.02,NAP,N,
005541776,00018,00554177600018,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04170,SAINT-ANDRE-LES-ALPES,,,04173,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,69.11,NAP,N,
005541842,00018,00554184200018,O,,NN,,,2024-03-30T13:26:27,true,1,,,,,,RUE,DE LA GRANDE FONTAINE,04000,DIGNE-LES-BAINS,,,04070,,,,,040700760_B,959287.1889720189,6338061.055056568,,,,,,,,,,,,,,,1984-12-25,F,,,,,49.01,NAP,N,
005541867,00023,00554186700023,O,1984-07-10,NN,,,2025-12-05T17:56:20,true,3,,,,,,QUAI,DES 4 CHEMINS,83460,LES ARCS,,,83004,,,,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N,68.20H
005541909,00015,00554190900015,O,,NN,,,2024-03-30T15:53:01,true,1,,,,,,BOULEVARD,DE LA REPUBLIQUE,04190,LES MEES,,,04116,,,,,041160145_B,938444.2523999268,6330094.812252669,,,,,,,,,,,,,,,1984-12-25,F,,,,,81.21,NAP,N,
005541982,00020,00554198200020,O,,NN,,,2024-03-30T15:20:47,true,1,,32,,,,BOULEVARD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,040700710_B,958875.1709717219,6337857.898805106,,,,,,,,,,,,,,,1993-06-30,F,,,,,52.4C,NAF1993,N,
005542113,00013,00554211300013,O,1988-03-18,NN,,,2024-03-22T15:40:57,true,3,HOTEL L'EQUIPE,,,,,,SAUZE,04400,ENCHASTRAYES,,,04073,,,,,,,,,,,,,,,,,,,,,,2001-10-03,F,,,,,70.2C,NAF1993,N,
005542162,00010,00554216200010,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04340,MEOLANS-REVEL,,,04161,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,57.08,NAP,N,
005542212,00013,00554221200013,O,1955-01-01,NN,,,2024-03-22T15:40:57,true,1,,,,,,QUAI,LE SAUZE,04400,ENCHASTRAYES,,,04073,,,,,,,,,,,,,,,,,,,,,,2000-06-02,F,,,,,70.2C,NAF1993,N,
005542261,00010,00554226100010,O,1955-01-01,NN,,,2024-03-22T15:40:57,true,1,,,,,,,COL ST JEAN,04340,SAINT VINCENT LES FORTS,,,04198,,,,,,,,,,,,,,,,,,,,,,1998-12-19,F,,,,,55.1A,NAF1993,N,
005542345,00011,00554234500011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,RUE,DE LA MAIRIE,04190,LES MEES,,,04116,,,,,,,,,,,,,,,,,,,,,,1987-12-31,F,,,,,38.40,NAP,N,
005542394,00019,00554239400019,O,,NN,,,2024-03-30T04:17:50,true,1,,1,,,,PLACE,PIED DE VILLE,04000,DIGNE-LES-BAINS,,,04070,,,,,040701240_B,958986.6952386898,6337755.161715809,,,,,,,,,,,,,,,,F,,,,,67.09,NAP,N,
005542410,00013,00554241000013,O,,NN,,,2024-03-30T12:59:56,true,1,,,,,,RUE,SAUNERIE,04200,SISTERON,,,04209,,,,,042091560_B,935323.5614678626,6348735.963358052,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,
005550017,00015,00555001700015,O,,NN,,,2024-03-30T10:30:09,true,1,,,,,,AV,DE LA GARE,04200,SISTERON,,,04209,,,,,042090645_C,,,,,,,,,,,,,,,,,,F,,,,,59.08,NAP,N,
005550025,00018,00555002500018,O,1955-01-01,NN,,,2024-03-22T15:40:57,false,4,,34,,,,ALL,DES FONTAINIERS,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,,,,2002-12-31,F,,,,,51.1N,NAF1993,O,
005550025,00026,00555002500026,O,2002-10-22,NN,,,2024-03-22T15:40:57,true,3,ZI ST CHRISTOPHE,,,,,RUE,FERDINAND DE LESSEPS,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,,,,2007-02-28,F,,,,,55.3A,NAFRev1,O,
005550058,00019,00555005800019,O,1955-01-01,NN,,,2024-03-22T15:40:57,true,4,,,,,,QUA,LES BONS ENFANTS,04200,PEIPIN,,,04145,,,,,,,,,,,,,,,,,,,,,,2006-12-29,F,,,,,45.2C,NAFRev1,N,
